orden,numero,nombre,complejidad_tiempo,ya_en_rust,conceptos_clave_rust
2,1464,Maximum Product of Two Elements,O(n),Si,"iteradores (iter/max/sort); desestructuración de tuplas; métodos de slice"
3,191,Number of 1 Bits,O(log n),Si,"operaciones bitwise (&  >> ); método nativo count_ones() en u32; tipos enteros u32/i32"
4,9,Palindrome Number,O(log n),Si,"to_string(); chars().rev(); String vs &str; collect(); comparación de iteradores"
5,136,Single Number,O(n),Si,"XOR bitwise (^); fold() para reducción; iteradores funcionales"
6,2917,Find the K-or of an Array,O(32n),Si,"bit shifting (<< >>); filter() y count() en iteradores; u32 y usize; range loops"
7,338,Counting Bits,O(n log n),Si,"Vec::new() y push(); count_ones() en u32; range 0..=n; collect::<Vec<i32>>()"
8,26,Remove Duplicates from Sorted Array,O(n),Si,"slices mutables (&mut Vec); two-pointer con índices; ownership de elementos; retain()"
9,14,Longest Common Prefix,O(n*m),Si,"String vs &str; chars() y zip(); iter().min_by_key(); string slicing con &s[..n]"
10,217,Contains Duplicate,O(n),Si,"HashSet<i32>; insert() retorna bool; iter; from() para convertir Vec a HashSet"
11,20,Valid Parentheses,O(n),Si,"Vec como stack (push/pop); match con patrones; Option<T> con unwrap_or; chars()"
12,888,Fair Candy Swap,O(n+m),Si,"HashSet para búsqueda O(1); iter().sum::<i32>(); aritmética entera; contains()"
13,1003,Check if Word Valid After Substitutions,O(n),Si,"Vec<char> como stack; windows() en slices; chars(); comparación de slices con ==; pop() retorna Option<T>"
14,3074,Apple Redistribution into Boxes,O(n log n),Si,"sort_unstable_by(|a b| b.cmp(a)) para desc; iter().sum(); acumulador con variable mutable; early return"
15,509,Fibonacci Number,O(n),Si,"HashMap<i32 i32> para memoización; recursión con estado; entry().or_insert(); o DP iterativo con array"
16,1137,N-th Tribonacci Number,O(n),Si,"array fijo [i64; 3] para rolling window; DP iterativo; índices con módulo; evitar recursión sin memoización"
17,70,Climbing Stairs,O(n),Si,"DP iterativo con dos variables; patrón fibonacci en Rust; u64 para valores grandes; sin recursión por stack overflow"
18,746,Min Cost Climbing Stairs,O(n),si,"Vec para tabla DP; std::cmp::min(); iter().enumerate(); acceso con índices seguros"
19,241,Different Ways to Add Parentheses,O(Catalan(n)),No,"recursión dividir y conquistar; Vec<i32> como resultado; String parsing con chars() y enumerate(); closures para operaciones aritméticas; flatten()"
20,13,Roman to Integer,O(n),Si,"HashMap<char i32> para valores; chars().peekable() para lookahead; windows(2) como alternativa; match para mapeo"
21,28,Find First Occurrence in String,O(n*m) / O(n+m) KMP,Si,"str::find() nativo; implementación manual con windows(); Option<usize>; conversión Option a i32 con map_or"
22,1,Two Sum,O(n),Si,"HashMap<i32 usize>; enumerate(); entry API; retorno temprano con return; Vec<i32> como resultado"
23,11,Container With Most Water,O(n),Si,"dos punteros concurrentes; std::cmp::min y max; mutabilidad limpia sin clonar datos"
24,3,Longest Substring Without Repeating Characters,O(n),Si,"Sliding Window; conversión String a Vec<char> para indexación segura; arreglo de frecuencias [usize; 128]"
25,15,3Sum,O(n^2),Si,"sort_unstable() para rendimiento; lógicas manuales para evitar duplicados en slices; evitar colecciones pesadas"
26,49,Group Anagrams,O(n * m log m),Si,"HashMap con llaves complejas; uso de arrays fijos [i32; 26] o Vec<char> ordenados como keys; traits Hash y Eq"
27,347,Top K Frequent Elements,O(n log k),Si,"BinaryHeap para colas de prioridad; HashMap de frecuencias; ordenamiento personalizado con closures e iteradores avanzados"
28,48,Rotate Image,O(n^2),Si,"matrices Vec<Vec<i32>>; modificaciones in-place usando slice::swap; evitar múltiples referencias mutables"
29,54,Spiral Matrix,O(n * m),No,"control de flujo en matrices; desestructuración de tuplas para coordenadas; gestión de límites mutables seguros"
30,206,Reverse Linked List,O(n),No,"Option<Box<ListNode>>; uso vital de Option::take() para extraer nodos sin romper la propiedad (ownership)"
31,21,Merge Two Sorted Lists,O(n),No,"traspaso de propiedad de nodos en memoria dinámica; pattern matching recursivo o iterativo con match e if let"
32,226,Invert Binary Tree,O(n),No,"Option<Rc<RefCell<TreeNode>>> o Option<Box>; mutabilidad interna; desempaquetado de punteros con match ref mut"
33,198,House Robber,O(n),No,"programación dinámica lineal; optimización de espacio de Vec<i32> a dos variables mutables O(1)"
34,322,Coin Change,O(n * amount),No,"DP estilo knapsack; inicialización segura con valores por defecto grandes (amount + 1); prevención de integer overflow"
